+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
|  reino   |   filo   | classe |      ordem       |      familia      |   subfamilia   |                 especie                 |                nome_cientifico                 |             autor              |     nome_popular     | nome_ingles |
| Animalia | Chordata | Aves   | Passeriformes    | Momidae           | Mimus          | M. saturninus                           | Mimus saturninus                               | (Lichtenstein, 1823)           |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Passerellidae     | Zonotrichia    | Z. capensis                             | Zonotrichia capensis                           | (Statius Muller, 1776)         |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Parulidae         | Setophaga      | S. pitiayumi                            | Setophaga pitiayumi                            | (Vieillot, 1817)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Parulidae         | Geothlypis     | G. aequinoctialis                       | Geothlypis aequinoctialis                      | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Parulidae         | Basileuterus   | B. culicivorus                          | Basileuterus culicivorus                       | (Deppe, 1830)                  |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Icteridae         | Cacicus        | C. haemorrhous                          | Cacicus haemorrhous                            | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Icteridae         | Gnorimopsar    | G. chopi                                | Gnorimopsar chopi                              | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Icteridae         | Molothrus      | M. bonariensis                          | Molothrus bonariensis                          | (Gmelin, 1789)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Pipraeidea     | P. melanonota                           | Pipraeidea melanonota                          | (Vieillot, 1819)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Tangara        | T. seledon                              | Tangara seledon                                | (Statius Muller, 1776)         |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Tangara        | T. sayaca                               | Tangara sayaca                                 | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Tangara        | T. palmarum                             | Tangara palmarum                               | (Wied, 1821)                   |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Conirostrum    | C. speciosum                            | Conirostrum speciosum                          | (Temminck, 1824)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Sicalis        | S. flaveola                             | Sicalis flaveola                               | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Haplospiza     | H. unicolor                             | Haplospiza unicolor                            | (Cabanis, 1851)                |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Hemithraupis   | H. ruficapilla                          | Hemithraupis ruficapilla                       | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Trichothraupis | T. melanops                             | Trichothraupis melanops                        | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Tachyphonus    | T. coronatus                            | Tachyphonus coronatus                          | (Vieillot, 1822)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Ramphocelus    | R. bresilius                            | Ramphocelus bresilius                          | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Ramphocelus    | R. carbo                                | Ramphocelus carbo                              | (Pallas, 1764)                 |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Tersina        | T. viridis                              | Tersina viridis                                | (Illiger, 1811)                |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Dacnis         | D. cayana                               | Dacnis cayana                                  | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Coereba        | C. flaveola                             | Coereba flaveola                               | (Linnaeus, 1758)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Sporophila     | S. caerulescens                         | Sporophila caerulescens                        | (Vieillot, 1823)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Saltator       | S. similis d’Orbigny & Lafresnaye, 1837 | Saltator similis d’Orbigny & Lafresnaye, 1837  | ()                             |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Thraupidae        | Thlypopsis     | T. sordida                              | Thlypopsis sordida                             | (d’Orbigny & Lafresnaye, 1837) |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Fringillidae      | Euphonia       | E. chlorotica                           | Euphonia chlorotica                            | (Linnaeus, 1766)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Fringillidae      | Euphonia       | E. violacea                             | Euphonia violacea                              | (Linnaeus, 1758)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Fringillidae      | Euphonia       | E. cyanocephala                         | Euphonia cyanocephala                          | (Vieillot, 1818)               |                      |             |
| Animalia | Chordata | Aves   | Passeriformes    | Passeridae        | Passer         | P. domesticus                           | Passer domesticus                              | (Linnaeus, 1758)               |                      |             |
+----------+----------+--------+------------------+-------------------+----------------+-----------------------------------------+------------------------------------------------+--------------------------------+----------------------+-------------+
